smiles_a,gene,smiles_b,pic50_a,pic50_b,relation_a,relation_b
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,NEK3,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,6.77,5.53,=,=
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,DSTYK,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,4.53,7.24,=,=
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,MYO3B,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.08,5.15,=,=
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,MAK,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,7.96,6.0,=,=
CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3sccc3n2)cc1,TYRO3,O=c1[nH]n2ccccc2c1Br,6.8,5.6,=,=
COc1cc2c(N3CCN(c4ncc(Cc5ccccc5)cn4)CC3)ncnc2cc1OCCCN1CCCCC1,KIT,COc1cc2ncnc(N3CCN(c4ncc(Cc5ccccc5)cn4)CC3)c2cc1OC[C@@H]1CCCN(C)C1,6.76,8.26,=,=
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,STK33,O=C(Nc1ccc(F)cc1-c1nc2ccccc2[nH]c1=O)c1cccs1,5.35,6.39,=,=
Cc1ccccc1NC(=O)Nc1ccc(-c2coc3ncnc(N)c23)cc1,PBK,Cc1ccc2c(=O)[nH]c3c(C)cc(O)c(-c4ccc([C@@H](C)N)cc4)c3c2c1,5.2,8.81,=,=
O=[N+]([O-])c1cc(S(=O)(=O)C(Cl)(Cl)Br)ccc1NCCCCc1ccccc1,WNK1,COc1cccc(-c2cc(-n3cc(CNCC4CCCCC4)c4ccccc43)ccn2)c1,4.66,7.22,=,=
C[C@H](N(C)c1nc(-c2ccncc2)nc2cnccc12)C(F)(F)F,LATS2,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.7,8.06,=,=
CC(C)COc1ncnc2[nH]cc(C/C=C/C(N)=O)c12,TAB1,CC(=O)c1c[nH]c2ncnc(OCC(C)C)c12,6.38,5.77,=,=
O=C(O)c1ccc(NC(=O)[C@H](CC2CCOCC2)n2cnc(S(=O)(=O)C3CC3)c2)nc1,GCK,Cc1ccc(NC(=O)[C@H](CCO)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,5.87,6.7,=,=
